language,num_pages,genres,rating_score,num_reviews,current_readers,want_to_read,price,rating
English,172,"['Mystery', 'Italy', 'Fiction', 'Crime', 'Mystery Thriller', 'Christmas', 'Detective']",3.46,164,97,124,7.99,
English,238,"['Polish Literature', 'Fiction', 'Poland', 'Classics', 'School', 'Literature', '20th Century']",3.67,285,165,42,,
English,,"['Poetry', 'Feminism', 'LGBT', 'Queer', 'Nonfiction', 'Womens', 'Classics']",4.27,57,29,82900,9.56,
English,224,"['Mystery', 'Historical Fiction', 'Historical Mystery', 'Fiction', 'Historical', 'Victorian', 'Crime']",3.93,340,858,10800,0,
English,205,"['Feminism', 'Nonfiction', 'Race', 'History', 'Social Justice', 'Politics', 'Womens']",4.5,1334,1671,4494,27.99,
English,412,"['Horror', 'Vampires', 'Fiction', 'Fantasy', 'Paranormal', 'Thriller', 'Supernatural']",3.91,569,605,690,0,
Spanish; Castilian,296,"['Historical Fiction', 'Fiction', 'Historical', 'Romance', 'Gothic']",4.14,13,22,215,0,
English,307,"['Fiction', 'Thriller', 'Medical', 'Mystery', 'Horror', 'Suspense', 'Science Fiction']",3.77,258,308,7005,8.99,
English,124,"['Science', 'Nonfiction', 'Biology', 'Art', 'Evolution', 'Nature', 'Animals']",4.28,119,86,154,7.99,
English,228,"['Horror', 'Short Stories', 'Fiction', 'Anthologies', 'Collections', 'Fantasy', 'Literature']",3.85,20,7,3741,3.99,
English,179,"['Russia', 'Fiction', 'Historical Fiction', 'War', 'Russian Literature', '20th Century', 'School']",3.86,12,4,9413,0.73,
English,238,"['Science Fiction', 'Fiction', 'Religion', 'Fantasy', 'Philosophy', 'Novels', 'Science Fiction Fantasy']",3.82,527,226,630,11.2,
English,149,"['Poetry', 'Classics', 'Fiction', 'Literature', 'Spanish Literature']",4.24,16,17,259,,
English,256,"['Fantasy', 'Sword and Sorcery', 'Fiction', 'Africa', 'Adventure', 'Speculative Fiction', 'Science Fiction']",3.91,153,86,3027,,
English,314,"['Mystery', 'Fiction', 'Humor', 'Crime', 'Mystery Thriller', 'British Literature', 'Italy']",3.88,454,267,103,6.99,
English,192,"['Feminism', 'Short Stories', 'Fairy Tales', 'Fiction', 'Fantasy', 'Folklore', 'Childrens']",4.16,38,11,21400,,
